 AOU_Code,step,run,result,select,all_sca,
WBNU,era3,no,WBNU_step1_output_2025_10_03run1,WBNU_step1_output_2025_10_03run1_3_7_SCA_SEL_PARS,old,
WOTH,era3,no,WOTH_step1_output_2025_10_03run1,WOTH_step1_output_2025_10_03run1_3_7_SCA_SEL_PARS,old,
YBSA,era3,no,YBSA_step1_output_2025_10_04run1,YBSA_step1_output_2025_10_04run1_3_7_SCA_SEL_PARS,old,
BAWW,5,yes,BAWW_step2_output_2025_11_13run1_allsca1,BAWW_step1_output_2025_09_24run1_3_7_SCA_SEL_PARS_5yes,new models,
BHVI,5,yes,BHVI_step2_output_2025_11_14run1_allsca1,BHVI_step1_output_2025_09_25run1_3_7_SCA_SEL_PARS_5yes,new models,
BLBW,5,yes,BLBW_step2_output_2025_11_14run1_allsca1,BLBW_step1_output_2025_09_25run1_3_7_SCA_SEL_PARS_5yes,new models,
BRCR,5,yes,BRCR_step2_output_2025_11_14run1_allsca3,BRCR_step1_output_2025_09_25run1_3_7_SCA_SEL_PARS_5yes,new models,
BTBW,5,yes,BTBW_step2_output_2025_11_14run1_allsca2,BTBW_step1_output_2025_09_26run1_3_7_SCA_SEL_PARS_5yes,new models,
BTNW,5,yes,BTNW_step2_output_2025_11_14run1_allsca1,BTNW_step1_output_2025_09_26run1_3_7_SCA_SEL_PARS_5yes,new models,
DOWO,5,yes,DOWO_step2_output_2025_11_14run1_allsca1,DOWO_step1_output_2025_09_27run1_3_7_SCA_SEL_PARS_5yes,new models,
HAWO,5,yes,HAWO_step2_output_2025_11_14run1_allsca1,HAWO_step1_output_2025_09_28run1_3_7_SCA_SEL_PARS_5yes,new models,
HETH,5,yes,HETH_step2_output_2025_11_14run1_allsca1,HETH_step1_output_2025_09_28run1_3_7_SCA_SEL_PARS_5yes,new models,
OVEN,5,yes,OVEN_step2_output_2025_11_14run1_allsca3,OVEN_step1_output_2025_09_30run1_3_7_SCA_SEL_PARS_5yes,new models,
REVI,5,yes,REVI_step2_output_2025_11_14run1_allsca3,REVI_step1_output_2025_10_01run1_3_7_SCA_SEL_PARS_5yes,new models,
BAWW,2,yes,BAWW_step1_output_2025_11_16run1,BAWW_step1_output_2025_11_16run1_25_75_SCA_SEL_PARS,new models,
BCCH,2,yes,BCCH_step1_output_2025_11_15run1,BCCH_step1_output_2025_11_15run1_25_75_SCA_SEL_PARS,new models,
BHVI,2,yes,BHVI_step1_output_2025_11_15run1,BHVI_step1_output_2025_11_15run1_25_75_SCA_SEL_PARS,new models,
BLBW,2,yes,BLBW_step1_output_2025_11_15run1,BLBW_step1_output_2025_11_15run1_25_75_SCA_SEL_PARS,new models,
BRCR,2,yes,BRCR_step1_output_2025_11_15run1,BRCR_step1_output_2025_11_15run1_25_75_SCA_SEL_PARS,new models,
BTBW,2,yes,BTBW_step1_output_2025_11_16run1,BTBW_step1_output_2025_11_16run1_25_75_SCA_SEL_PARS,new models,
BTNW,2,yes,BTNW_step1_output_2025_11_16run1,BTNW_step1_output_2025_11_16run1_25_75_SCA_SEL_PARS,new models,
DOWO,2,yes,DOWO_step1_output_2025_11_16run1,DOWO_step1_output_2025_11_16run1_25_75_SCA_SEL_PARS,new models,
HAWO,2,yes,HAWO_step1_output_2025_11_17run1,HAWO_step1_output_2025_11_17run1_25_75_SCA_SEL_PARS,new models,
HETH,2,yes,HETH_step1_output_2025_11_17run1,HETH_step1_output_2025_11_17run1_25_75_SCA_SEL_PARS,new models,
OVEN,2,yes,OVEN_step1_output_2025_11_18run1,OVEN_step1_output_2025_11_18run1_25_75_SCA_SEL_PARS,new models,
REVI,2,yes,REVI_step1_output_2025_11_18run1,REVI_step1_output_2025_11_18run1_25_75_SCA_SEL_PARS,new models,
SCTA,2,yes,SCTA_step1_output_2025_11_19run1,SCTA_step1_output_2025_11_19run1_25_75_SCA_SEL_PARS,new models,
VEER,2,yes,VEER_step1_output_2025_11_19run1,VEER_step1_output_2025_11_19run1_25_75_SCA_SEL_PARS,new models,
WBNU,2,yes,WBNU_step1_output_2025_11_20run1,WBNU_step1_output_2025_11_20run1_25_75_SCA_SEL_PARS,new models,
WOTH,2,yes,WOTH_step1_output_2025_11_20run1,WOTH_step1_output_2025_11_20run1_25_75_SCA_SEL_PARS,new models,
YBSA,2,yes,YBSA_step1_output_2025_11_21run1,YBSA_step1_output_2025_11_21run1_25_75_SCA_SEL_PARS,new models,
BAWW,3,yes,BAWW_step2_output_2025_11_24_newrun1_updated,BAWW_step1_output_2025_11_16run1_25_75_SCA_SEL_PARS,new models,
